,marcEntry,callNumber,library,numberOfCharges,numberOfBills,numberOfCopyHolds,totalCharges,inhouseCharges,totalCheckouts,totalRenewals,intervalCheckouts,intervalRenewals,intervalStartDate,recirculate,dateLastUsed,isReserveItem,copyNumber,itemID,library2,libraryDescription,currentLibrary,location,inTransitTo,inTransitFrom,datePutInTransit,transitReason
123851,WebTV for dummies / by Brad Hill.,TK5105.883.W43 H55 1998,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201603018841,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123852,Push technology for dummies / by Bud Smith.,TK5105.887 .S65 1997,LINCOLNCTR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1998-04-19,False,1.0,0201602958534,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123860,Web design & desktop publishing for dummies / by Roger C. Parker.,TK5105.888 .P37 1997,LINCOLNCTR,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,1/14/2025,YES,2012-04-25,False,1.0,0201603026661,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123900,Dragon NaturallySpeaking for dummies / by David Kay and Douglas Muder.,TK7882.S65 K39 1999,LINCOLNCTR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-10-10,False,1.0,0201603937842,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123905,Modems for dummies / by Tina Rathbone.,TK7887.8.M63 R38 1996,LINCOLNCTR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-08-29,False,1.0,0201602389623,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123907,Upgrading & fixing PCs for dummies  / by Andy Rathbone.,TK7887 .R38 1997,LINCOLNCTR,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-01-09,False,1.0,0201602632410,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123908,Upgrading & fixing PCs for dummies / Andy Rathbone.,TK7887 .R38 1998,LINCOLNCTR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1999-04-20,False,1.0,0201603354287,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123923,Building a PC for dummies / by Mark Chambers.,TK9969 .C476 1998,LINCOLNCTR,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,CHARGED,2002-05-07,False,1.0,0201603018080,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,LOST-ASSUM,,,,
123932,Auto repair for dummies / by Deanna Sclar.,TL152 .S42 1999,LINCOLNCTR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-12-18,False,1.0,0201603882980,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123935,Buying a car for dummies / Deanna Sclar.,TL162 .S34 1998,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201603296868,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
